Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
EQNR.OL,Equinor ASA,58.00654,60.05616,60.05616,64.32,112508000000.0,0.27055,70420932893.0679,59.84415,42971000000.0,112508000000.0
ROSNP.BX,OMV Petrom SA,61.0931,17.00963,17.00963,,43784140000.0,-0.16214,34244673142.3593,2.29131,31367620000.0,43784140000.0
PTT.BK,PTT PCL,51.87078,24.48979,24.49389,18.72,2353682332950.0,0.08358,1313897827500.0,41.26054,874325249311.0,2353682332950.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,13.73048,,34.38022,,209362623.26,1.25764,29546881.2,149.20043,51296134.11,209362623.26
NVTK.MM,Novatek PAO,33.55895,,19.94758,,1216370000000.0,0.12712,3437098392000.0,20.52358,868254000000.0,1216370000000.0
PEA.TO,Pieridae Energy Ltd,88.80496,,,,370673000.0,0.44573,199704471.92,54.50473,91900000.0,370673000.0
ENER.KW,Energy House Holding Company KSCP,4.07945,,21.94448,,33717645.0,0.12271,27225000.0,19.90225,23511503.0,33717645.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,64.26761,28.72,28.72057,27.5,53271000000.0,0.01523,39928155661.87,9.91112,37354000000.0,53271000000.0
SHEL.L,Shell PLC,55.9064,32.888,32.8879,35.75,399194000000.0,0.24855,243408898089.904,37.93141,198646000000.0,399194000000.0
ECHOE.L,Echo Energy PLC,1.33084,,,,25218105.0,0.15589,43594234.8267592,228.73649,7052584.0,25218105.0
DANA.AD,Dana Gas PJSC,38.71171,,,,3167000000.0,0.00193,1823556546.80897,16.00309,2585000000.0,3167000000.0
ROSN.MM,NK Rosneft' PAO,64.15711,,21.99519,,13163000000000.0,0.5542,4583711905852.5,86.74364,4053000000000.0,13163000000000.0
GALP.LS,Galp Energia SGPS SA,42.03515,47.12848,47.12848,47.825,12687000000.0,0.28725,10638305614.195,53.66297,4587000000.0,12687000000.0
GSP.MI,Gas Plus SpA,20.6544,,,,523530000.0,0.19472,102843029.8,27.27623,212788000.0,523530000.0
INAI.ZA,INA dd,59.22283,,22.56579,,20742000000.0,0.14117,31436345397.0214,17.68587,11814000000.0,20742000000.0
601857.SS,PetroChina Co Ltd,70.02399,37.142,36.64657,32.06,2441169000000.0,0.2322,1257852048949.54,29.99618,1214067000000.0,2441169000000.0
