Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
PANA.CM,Panasian Power PLC,Sri Lanka,A,11.9843579893984,85.36906,,,,5065592847.0,0.65281,2312500000.0,69.65348,2561858032.0,5065592847.0,,,935512640.0,315598796.0,2021.0
ENRG.TA,Energix Renewable Energies Ltd,Israel,A-,2.69789940875315,77.58558,,-10.67112,,4783055000.0,1.31694,6467906423.25,169.69877,1510963000.0,4783055000.0,,,266626000.0,1200163000.0,2021.0
ABOG.DE,clearvise AG,Germany,BB,1.39515208455609,82.85675,,,30.0,230913000.0,2.28116,123984000.0,266.09798,61076000.0,230913000.0,,,32881000.0,15823000.0,2021.0
1165.HK,Shunfeng International Clean Energy Ltd,China,CCC+,10.9245967066638,18.84237,,,,6752538000.0,,316655980.566749,,-974319000.0,6752538000.0,,,650186000.0,65389000.0,2021.0
KRME.NS,Karma Energy Ltd,India,BB+,4.67017974319905,51.05082,,,,633984000.0,0.25821,373129855.5,62.23472,302132000.0,633984000.0,,,316595000.0,47000.0,2021.0
AEGA.OL,Aega ASA,Norway,B+,-3.52710042216236,51.61818,,,,19500384.0,0.41895,10708780.3932034,83.79199,10263994.0,19500384.0,,,1840780.0,,2021.0
1281.HK,Xinda Investment Holdings Ltd,China,BB-,0.253023276935254,29.851,,439.98868,,1499618000.0,-0.05335,181450647.818056,19.06324,1168565000.0,1499618000.0,,,462642000.0,32196000.0,2021.0
PUNTILLA.SN,Electrica Puntilla SA,Chile,BBB+,4.83401226061498,51.29765,,-45.44672,,164405471000.0,0.09771,,18.44153,95629899000.0,164405471000.0,,,13238026000.0,4687849000.0,2021.0
601016.SS,CECEP Wind-Power Corp,China,BBB-,5.80233484765169,76.6522,11.11933,11.11933,,39819791776.57,1.87883,32635671853.89,201.85235,11241175198.96,39819791776.57,,13501210,3538902530.0,6176221556.98,2021.0
DRL.HM,Hydro Power JSC-Power No.3,Vietnam,AAA,46.2155489788197,28.96531,,10.5549,,134664734618.0,-0.62673,620350000000.0,,122334044208.0,134664734618.0,,,95635308240.0,3200513227.0,2021.0
FDE.MI,Frendy Energy SpA,Italy,AA-,2.04846526655897,71.36882,,14.44867,,18169000.0,-0.15137,18547934.5405547,2.51197,13672000.0,18169000.0,,,2105000.0,46000.0,2021.0
WAAE.BO,Waaree Renewable Technologies Ltd,India,,15.5899756379608,42.24281,,58.09062,,1677883000.0,-0.04353,5910372114.3,140.15074,299018000.0,1677883000.0,,,1614955000.0,65031000.0,2021.0
MEL.NZ,Meridian Energy Ltd,New Zealand,A+,4.78463396400023,83.57349,27.84,27.84,,9369000000.0,0.15227,12063003193.8,21.79975,5523000000.0,9369000000.0,,,3703000000.0,172000000.0,2021.0
AMTL.BO,Advance Metering Technology Ltd,India,BBB,-2.814752528174,44.07156,,,,1338032260.0,0.12437,329613621.332332,19.3343,958634920.0,1338032260.0,,,170342330.0,3735920.0,2021.0
CKP.BK,CK Power PCL,Thailand,A-,2.83016376078074,37.58339,2.1754,2.1754,16.6,68977346991.0,0.6723,40452779132.0686,86.8365,24833755724.0,68977346991.0,,,8797743020.0,48700181.0,2021.0
UKWG.L,Greencoat UK Wind PLC,United Kingdom,BB+,6.55481495264439,,,0.0,,4049978000.0,0.30552,3257839537.732,30.70758,3093699000.0,4049978000.0,,,423471000.0,,2021.0
TSE.BK,Thai Solar Energy PCL,Thailand,BBB-,0.668871960364865,54.62784,,1.72152,,19706916391.0,1.91189,5548416656.22,204.5692,6349379810.0,19706916391.0,,,1524077940.0,1787710045.0,2021.0
EAM.OL,EAM Solar ASA,Norway,B+,-2.67663292572828,47.86862,,,,13658754.0,0.53154,7253144.81635254,61.74566,6770782.0,13658754.0,,,1333520.0,0.0,2021.0
CWENa.N,Clearway Energy Inc,United States of America,BB,2.64900662251656,63.9975,,,,12813000000.0,2.28242,7055354498.61,233.66667,1834000000.0,12813000000.0,,6000000,1286000000.0,151000000.0,2021.0
1250.HK,Shandong Hi-Speed New Energy Group Ltd,Hong Kong,B,3.65424556603832,50.53811,,,,54874237000.0,2.52006,6161963514.529,266.25839,11250423000.0,54874237000.0,,,6023419000.0,1426614000.0,2021.0
TRIG.L,Renewables Infrastructure Group Ltd,Guernsey,BB,8.53809226108375,,,,,2706539000.0,-0.01043,3047179181.76,,2706177000.0,2706539000.0,,,174796000.0,,2021.0
RNW.TO,TransAlta Renewables Inc,Canada,BBB+,2.66749379652605,51.29368,,7.33333,,3749000000.0,0.34715,5003695143.75,46.2082,2074000000.0,3749000000.0,,,470000000.0,81000000.0,2021.0
AKI.MC,Akiles Corporation ED,Bulgaria,,,,,,,,,,,,,,,,,2021.0
8326.HK,Tonking New Energy Group Holdings Ltd,Hong Kong,BB,2.99118882516989,10.4145,,-32.91523,,423189000.0,0.21125,71166000.0,34.85563,229628000.0,423189000.0,,,240524000.0,4618000.0,2021.0
JPWR_u.V,Jade Power Trust,Canada,A+,9.1551091764409,62.43345,,26.52325,,69515857.0,0.12689,55491900.0,33.56759,44665178.0,69515857.0,,,18650830.0,95808.0,2021.0
AY.OQ,Atlantica Sustainable Infrastructure PLC,United Kingdom,BBB-,3.85026621606,82.25621,143.15074,143.15074,40.3,9751930000.0,2.9905,4019530314.48,346.51988,1542399000.0,9751930000.0,,,1211749000.0,,2021.0
NEP.N,Nextera Energy Partners LP,United States of America,B+,1.64400040097571,60.16547,10.17,10.16949,10.435,18976000000.0,0.46859,7078879765.2,48.17636,2977000000.0,18976000000.0,,,982000000.0,113000000.0,2021.0
PAMEL.IS,Pamel Yenilenebilir Elektrik Uretim AS,Turkey,AA-,15.1709739711277,96.37195,,26.58482,,215211721.0,0.21786,2580912473.0,23.19639,156782988.0,215211721.0,,,9216350.0,8776409.0,2021.0
IB.MI,Iniziative Bresciane Inbre SpA,Italy,BBB,5.332884734602,58.78002,38.08515,38.08514,30.0,202230669.0,1.00697,101176494.921156,132.76847,73797792.0,202230669.0,,,18460910.0,27406738.0,2021.0
TPCHm.BK,TPC Power Holding PCL,Thailand,BBB+,5.91922028594786,75.53537,3.6007,3.6007,1.2,9526684973.76,1.24219,4831334232.83582,141.37239,2885805915.0,9526684973.76,,,2470396980.0,260460683.37,2021.0
SCATC.OL,Scatec ASA,Norway,B,4.96575021112884,48.09264,39.92095,39.92095,32.68,33030000000.0,1.51618,24266478749.5,192.75129,9270000000.0,33030000000.0,,,3038000000.0,967000000.0,2021.0
1381.HK,Canvest Environmental Protection Group Company Ltd,Hong Kong,A-,9.63869660693849,7.07609,15.731,14.75,15.4,24439670000.0,1.20838,10050909616.28,139.54128,8710246000.0,24439670000.0,,,6794571000.0,115190000.0,2021.0
9517.T,eREX Co Ltd,Japan,BBB-,11.7839514612081,38.7073,25.34845,25.34845,29.7,157159000000.0,0.39576,102657718400.0,80.2185,55716000000.0,157159000000.0,,,230502000000.0,13907000000.0,2021.0
GNX.AX,Genex Power Ltd,Australia,BB-,0.827196271172407,73.23773,0.0,,0.0,617188941.0,1.57632,159295371.1,188.03643,206731874.0,617188941.0,,4399840,24890020.0,234724212.0,2021.0
GREG.MC,Grenergy Renovables SA,Spain,BB,10.7615393145945,66.4434,11.68229,11.68229,19.2,604808000.0,1.48217,809880419.0,196.50049,159323000.0,604808000.0,,,82506000.0,198161000.0,2021.0
TML.AX,Timah Resources Ltd,Australia,BB,2.59608874639108,61.91155,,46.48729,,63791000.0,0.91257,19958238.4324203,115.17726,25894000.0,63791000.0,,,8774000.0,111000.0,2021.0
BCPG.BK,BCPG PCL,Thailand,BBB+,4.61532964508484,30.32044,3.08765,3.08765,2.8,58721232738.0,0.67049,34728145992.0,108.54728,27159664978.0,58721232738.0,,,4668799340.0,3348897855.0,2021.0
KPEN.BO,KP ENERGY Ltd,India,BBB+,13.8551531681386,42.71412,,33.30533,,3418984000.0,0.04048,2805426000.0,26.06263,872413000.0,3418984000.0,,616000,2503839000.0,89511000.0,2021.0
3868.HK,Xinyi Energy Holdings Ltd,China,BBB+,11.0033077848964,68.85165,15.21466,15.21466,13.66667,21201950000.0,0.35819,30359693471.17,44.61554,12552600000.0,21201950000.0,,,2296648000.0,825890000.0,2021.0
AESB3.SA,AES Brasil Energia SA,Brazil,BB-,1.96355888649787,61.989,,,9.0595,11846050000.0,1.14163,,156.69594,3223075000.0,11846050000.0,,,1955011000.0,903715000.0,2021.0
AZRE.N,Azure Power Global Ltd,India,B,,,,,,,,,,,,,,,,2021.0
601619.SS,Ningxia Jiaze Renewables Corp Ltd,China,BB+,6.6379019904082,57.70111,,11.68086,,12049432228.47,1.01793,12560575246.44,111.76531,5253785551.23,12049432228.47,,,1422609110.0,322993706.01,2021.0
TPIPP.BK,TPI Polene Power PCL,Thailand,AAA,11.0060242688559,79.53165,2.56038,2.56038,7.9,48485350000.0,0.3651,34777103283.5821,52.42493,30851817000.0,48485350000.0,,,11073832000.0,2822508000.0,2021.0
BIONB.L,Bion Plc,Malaysia,CCC,-393.364507524616,80.71848,,,,115883000.0,,64069982.7626236,,-61841000.0,115883000.0,,,103673000.0,36530000.0,2021.0
VPD.HM,Viet Nam Power Development JSC,Vietnam,AA,14.3516684831408,88.69773,,14.67096,,2069164244235.0,0.36372,1854659544600.0,44.68396,1364355913306.0,2069164244235.0,,,568568759930.0,22492672430.0,2021.0
S4A.HM,Sesan 4A Hydroelectric JSC,Vietnam,AA,19.5881150047084,88.92686,,5.6157,,992026049132.0,0.48039,1223800000000.0,58.88284,580640343610.0,992026049132.0,,,285017048310.0,4428712500.0,2021.0
1257.HK,China Everbright Greentech Ltd,Hong Kong,BB-,6.6031478109894,14.96621,17.71149,16.94874,20.575,40539581000.0,1.27897,6053608540.0,145.45421,13761195000.0,40539581000.0,,,8446999000.0,2817495000.0,2021.0
600025.SS,Huaneng Lancang River Hydropower Inc,China,A-,7.22161014991373,90.48015,11.95637,11.95637,7.5,160654274783.46,1.2947,118620000000.0,131.73475,51407751759.78,160654274783.46,,130652450,20201630490.0,6019752964.2,2021.0
ZHEN.SI,Zheneng Jinjiang Environment Holding Co Ltd,China,BB-,7.4954108942006,49.25152,,22.32779,,20380727000.0,1.47738,2704420731.84852,153.35085,6766687000.0,20380727000.0,,,4060376000.0,1100614000.0,2021.0
ROEN.CY,R Energy 1 SA,Greece,BB,4.39041502867515,61.53453,,25.4032,,31880521.48,3.45894,23752449.65,409.87861,5540302.91,31880521.48,,,3609070.0,4580142.92,2021.0
VVPR.OQ,VivoPower International PLC,United States of America,CCC,-22.122233354586,5.37347,,,,69657000.0,1.24174,28692373.05,130.02367,21966000.0,69657000.0,,,22448000.0,1165000.0,2021.0
9519.T,Renova Inc,Japan,B+,1.46107759646527,52.62691,40.05982,40.05982,,296223000000.0,3.60811,135380899500.0,394.91238,31886000000.0,296223000000.0,,,29207000000.0,15501000000.0,2021.0
TGRA.JK,Terregra Asia Energy Tbk PT,Indonesia,BBB-,2.55878205277818,68.71823,,13.23385,,467023962959.0,0.20478,247500000000.0,20.56918,315382254135.0,467023962959.0,,,38690158850.0,2462697613.0,2021.0
SSP.BK,Sermsang Power Corporation PCL,Thailand,A-,7.64575815773919,67.51605,6.56335,6.56335,4.15,24063310225.0,1.67593,13355112863.0,223.78334,5884115450.0,24063310225.0,,,2597055830.0,4888952123.0,2021.0
603693.SS,Jiangsu New Energy Development Co Ltd,China,BB+,7.20034467531025,70.53272,20.66663,20.66663,11.0,15806561956.21,0.42511,19516464267.42,60.17906,5664021650.49,15806561956.21,,2249410,1856720180.0,1643756618.18,2021.0
RE.V,RE Royalties Ltd,Canada,BB+,-3.54012248656806,0.23974,,,,35194951.0,0.03479,33955725.54,143.01526,14406045.0,35194951.0,,,1925090.0,,2021.0
NEW.AX,New Energy Solar Ltd,Australia,A+,1.43534170140572,,,,,379269440.0,-0.01624,262882148.52,,368693423.0,379269440.0,,,-4576660.0,,2021.0
NEOEN.PA,Neoen SA,France,BB,5.13355478079447,74.38272,24.85981,24.85981,41.0625,4945100000.0,1.66162,4083061042.8,209.29471,1364700000.0,4945100000.0,,8100000,333600000.0,754500000.0,2021.0
300614.SZ,Henan BCCY Environmental Energy Co Ltd,China,A,11.4598065320291,39.25942,10.98538,10.98538,,1803447898.27,0.01325,7700854512.0,11.76124,1469148079.25,1803447898.27,,6194470,499322940.0,164258897.25,2021.0
WAAS.BO,WAA Solar Ltd,India,BB+,6.56143981998682,28.30331,,24.2515,,3102920771.0,0.41418,539293956.6,49.35747,1720928110.0,3102920771.0,,,460023000.0,,2021.0
ADNA.NS,Adani Green Energy Ltd,India,BBB-,7.60552921688468,81.57926,,11.23188,,591670000000.0,19.64384,2994618141916.0,2021.11706,26140000000.0,591670000000.0,22100000.0,,51330000000.0,147920000000.0,2021.0
RENER.MI,Renergetica SpA,Italy,BBB-,18.3892728323135,4.20005,,25.52342,13.0,33399280.0,0.40905,55955798.16,122.56459,12522942.0,33399280.0,,,12806910.0,217019.0,2021.0
FINT.BEL,Fintel Energija ad Beograd,Republic of Serbia,BB,12.087576028825,88.04087,,14.69736,,14058637000.0,6.41791,16966723840.0,677.87252,1015958000.0,14058637000.0,,,2480896000.0,560158000.0,2021.0
SPG.TO,Spark Power Group Inc,Canada,B+,-21.3940000834481,15.77732,,,,210885000.0,5.15814,71130293.75,515.81383,23549000.0,210885000.0,,,255815000.0,5599000.0,2021.0
KPIG.NS,KPI Green Energy Ltd,India,BBB-,18.8548886833554,65.94622,,27.14777,,7773415000.0,2.72903,10045252000.0,290.42057,1537356000.0,7773415000.0,,,2299411000.0,1906376000.0,2021.0
3498.T,Kasumigaseki Capital Co Ltd,Japan,BB,,,,,,,,,,,,,,,,2021.0
6639.TWO,Grand Green Energy Co Ltd,Taiwan,BBB+,-0.926708014576345,40.55781,,,,686006000.0,0.12324,716899120.439644,28.40777,449254000.0,686006000.0,,3546000,340170000.0,28561000.0,2021.0
ACE.BK,Absolute Clean Energy PCL,Thailand,AA-,9.67956587498877,55.45858,6.3757,6.3757,2.4,18740200511.0,0.29093,35615999860.0,35.7564,13315330526.0,18740200511.0,,,5726920800.0,1789914434.0,2021.0
DDG.HN,Indochine Import Export Investment Industrial JSC,Vietnam,A+,9.31975558122484,56.41832,,17.87769,,1553292931011.0,1.04876,1722604557200.0,111.07562,695165093625.0,1553292931011.0,,,751081336780.0,330338433653.0,2021.0
NTH.HN,Nuoc Trong Hydro Power JSC,Vietnam,AA,23.8834211733569,85.84066,,5.08162,,260054961978.0,0.35568,392114523900.0,45.43365,166590176052.0,260054961978.0,,,105001355090.0,3023089858.0,2021.0
NOVA.N,Sunnova Energy International Inc,United States of America,CCC+,-1.1946232386075,53.20055,0.0,,0.0,5504234000.0,1.86485,3165753872.0,201.47581,1189495000.0,5504234000.0,,,241752000.0,554541000.0,2021.0
KEEN.JK,Kencana Energi Lestari Tbk PT,Indonesia,A-,7.05499410844093,0.09853,,35.79032,,300775444.0,0.50292,114628487.556958,54.49093,142300136.0,300775444.0,,,36549910.0,70770.0,2021.0
NATEN.IS,Naturel Yenilenebilir Enerji Ticaret AS,Turkey,A-,5.22754680402766,77.66349,,0.52188,,6053465168.0,0.09653,1455960000.0,28.54058,2380661844.0,6053465168.0,,,623358350.0,169787141.0,2021.0
GPPR.KL,GPP Resources Bhd,Malaysia,B+,-22.4193876731109,53.21032,,,,57692031.0,3.34297,45759860.74,409.16789,7632859.0,57692031.0,,,77329280.0,2403424.0,2021.0
WIG.JS,Wigton Windfarm Ltd,Jamaica,,,,,,,,,,,,,,,,,2021.0
ANE.NM,Alpha Namibia Industries Renewable Energy Power Ltd,Namibia,,,,,,,,,,,,,,,,,2021.0
LAUG.CM,Laugfs Power Ltd,Sri Lanka,,,,,,,,,,,,,,,,,2021.0
PRYG.D,Pacifico Renewables Yield AG,Germany,BB-,1.63557298671482,85.77559,47.77,,10.66667,292721471.0,1.97321,96645167.2,212.65446,86894368.0,292721471.0,,,21894990.0,968381.0,2021.0
ETC.BK,Earth Tech Environment PCL,Thailand,A+,7.24191100331964,54.20784,-1.53432,-1.53432,,3969619778.0,-0.0475,6630400000.0,37.52602,2739589069.0,3969619778.0,,,730211190.0,97752219.0,2021.0
CLOUD.OL,Cloudberry Clean Energy ASA,Norway,BB+,-2.78807666703771,32.36037,1.1,,22.0,3118391000.0,-0.3058,3787438800.6,11.71289,2636199000.0,3118391000.0,,,35152000.0,179501000.0,2021.0
600905.SS,China Three Gorges Renewables Group Co Ltd,China,BBB-,5.35782673452228,69.38035,8.33767,8.33767,,218850191026.66,1.14368,214568210000.0,131.0508,70243786875.07,218850191026.66,,7419750,15484105840.0,29906150803.61,2021.0
601778.SS,Jinko Power Technology Co Ltd,China,BB-,5.55355994736139,55.30945,,19.32844,,30175982285.1,0.73938,24688268997.12,107.86582,12412121196.95,30175982285.1,,6659310,3674953570.0,2463622985.27,2021.0
DORL.TA,Doral Group Renewable Energy Resources Ltd,Israel,BB+,-1.61035667176133,3.26718,,,,1656687000.0,-0.66304,2009918874.39525,37.77548,499485000.0,1656687000.0,,2464000,121583000.0,712000.0,2021.0
ESEN.IS,Esenboga Elektrik Uretim AS,Turkey,BBB+,5.19590186666911,79.34443,,0.54296,,5806125985.0,0.099,2156800000.0,28.66565,3403046653.0,5806125985.0,,,555229830.0,110702068.0,2021.0
MSKE.TA,Meshek Energy-Renewable Energies Ltd,Israel,BBB-,-3.07865417250793,72.68611,,,,961694000.0,1.79813,731930945.486,228.17221,285895000.0,961694000.0,,,45471000.0,168300000.0,2021.0
COXA.BIV,Cox Energy America SAB de CV,Mexico,BB+,,,,,,,,,,,,,,,,2021.0
BEPC.N,Brookfield Renewable Corp,United States of America,B,2.77608980714491,90.30391,8.55457,8.55457,3.0,41986000000.0,0.91663,13325345917.2,97.59578,3667000000.0,41986000000.0,,,3367000000.0,1354000000.0,2021.0
AYDEM.IS,Aydem Yenilenebilir Enerji AS,Turkey,A-,2.6479738097445,90.88341,,,,22531356887.0,0.87297,4194750000.0,102.88692,9803259940.0,22531356887.0,,,1240753400.0,358975553.0,2021.0
600032.SS,Zhejiang Provincial New Energy Investment Group Co Ltd,China,BB-,4.91097784647772,68.47961,,14.28612,,41564134252.77,1.57243,32156800000.0,188.32617,7952492293.9,41564134252.77,,20467830,2909533800.0,2730010386.44,2021.0
6806.TW,Shinfox Energy Co Ltd,Taiwan,BBB-,14.5073020965736,11.36818,,20.24159,,10166627000.0,-0.14865,15748750000.0,33.58096,5885426000.0,10166627000.0,,,4334413000.0,318913000.0,2021.0
MNTK.OQ,Montauk Renewables Inc,United States of America,BBB,1.85942561578581,63.24979,,,71.0,286480000.0,0.1423,1445405933.25,43.45038,182293000.0,286480000.0,,,148127000.0,9986000.0,2021.0
NOFR.TA,OY Nofar Energy Ltd,Israel,BBB+,0.643367844454634,12.19923,,-6.25202,,2168219000.0,-0.60644,3005763065.81,13.1648,1392031000.0,2168219000.0,,,360762000.0,22050000.0,2021.0
ALTA.OL,Alternus Energy Group PLC,Ireland; Republic of,B-,3.84244090107141,79.4918,,4.90002,,214914000.0,3.23154,78958784.2001295,360.54169,42789000.0,214914000.0,,,20616000.0,,2021.0
ARR.TO,Altius Renewable Royalties Corp,Canada,A,-1.82185137622588,,,,0.0,165565400.0,-0.30998,230637676.199145,0.0,159055900.0,165565400.0,,,81600.0,,2021.0
MPCES.OL,MPC Energy Solutions NV,Netherlands,B,,5.92349,,,5.9,86116488.0,-0.65737,69785531.1876958,3.02397,82773575.0,86116488.0,,,0.0,2256959.0,2021.0
GWIND.IS,Galata Wind Enerji Anonim Sirket,Turkey,A,25.5765634741996,50.55685,12.95578,12.95578,,1767586090.0,0.49643,3123182114.72,65.57192,997686685.0,1767586090.0,,,540226280.0,85508859.0,2021.0
AMPS.N,Altus Power Inc,United States of America,BB-,3.12857370584199,89.31048,2.21,2.21805,-0.2,581560000.0,2.25873,420612500.0,247.37963,124979000.0,581560000.0,,,71800000.0,36677000.0,2021.0
RNW.OQ,Renew Energy Global PLC,United Kingdom,B,8.01687589954351,69.39937,,,36.8,641343000000.0,2.91671,176235201503.778,354.27979,118439000000.0,641343000000.0,,,59349000000.0,89830000000.0,2021.0
SOLR.TA,Solaer Renewable Energies Ltd,Israel,BB+,-4.1960153737548,77.89205,,,,773613000.0,1.84387,484477092.0,209.76457,164857000.0,773613000.0,,5560000,13741000.0,174000.0,2021.0
DEL.AX,Delorean Corporation Ltd,Australia,BB-,-63.3761315215536,48.33212,,,,24095786.0,-0.04204,18713351.486305,22.0938,11881797.0,24095786.0,,,40991160.0,3437778.0,2021.0
BIOEN.IS,Biotrend Cevre ve Enerji Yatirimlari AS,Turkey,BB,6.50803385856299,52.8476,,93.91207,,1832048051.0,1.43007,2750000000.0,173.59172,561390429.0,1832048051.0,,,427703850.0,441073027.0,2021.0
PRIM.TA,Prime Energy PE Ltd,Israel,B+,-10.2702069438749,48.34417,,,,220705000.0,1.33468,250178826.696661,164.48663,81202000.0,220705000.0,,,6937000.0,721000.0,2021.0
NSOL.OL,Norsk Solar AS,Norway,BB,-26.0753570981186,43.8476,,,,215225000.0,-0.28665,543541935.109739,25.45594,160383000.0,215225000.0,,,13593000.0,50262000.0,2021.0
MAGEN.IS,Margun Enerji Uretim Sanayi ve Ticaret AS,Turkey,BB+,16.2729908371286,78.58082,,0.51517,,5862546664.0,0.10189,3890900000.0,28.30982,4304316791.0,5862546664.0,,,508826410.0,112302069.0,2021.0
CV.BK,Clover Power PCL,Thailand,BBB-,12.1679909949378,41.16342,,11.31364,,3312327599.0,0.27725,3942400000.0,37.6,1953007194.0,3312327599.0,,,1721612760.0,154573996.0,2021.0
ECNER.MC,Grupo Ecoener SA,Spain,BB,4.2162671251629,62.46752,,,6.3,367892000.0,-0.05233,250576260.0,65.65994,111082000.0,367892000.0,,,39927000.0,56323000.0,2021.0
OPDE.MC,Opdenergy Holding SA,Spain,CCC,1.0457694084635,67.50045,,,,608350000.0,12.75563,,1670.98213,25343000.0,608350000.0,,,43495000.0,77332000.0,2021.0
001258.SZ,Xinjiang Lixin Energy Co Ltd,China,BB-,6.17498833811213,66.89871,,6.41409,,7017535546.69,2.29337,,255.21788,1882254867.24,7017535546.69,,179210,801361040.0,585887964.64,2021.0
ANE.MC,Corporacion Acciona Energias Renovables SA,Spain,BBB+,8.07445326395087,73.50898,33.94648,30.16219,26.62222,10653548000.0,0.44019,10726984189.62,57.20619,4975683000.0,10653548000.0,,,2472456000.0,721414000.0,2021.0
HDF.PA,Hydrogene De France SA,France,AA-,-6.85203966003187,0.41765,,,34.0,115598800.0,-0.87478,362667958.3,0.22456,109145000.0,115598800.0,,466600,885000.0,1881300.0,2021.0
CONSE.IS,Consus Enerji Isletmeciligi ve Hizmetleri AS,Turkey,,,,,,,,,,,,,,,,,2021.0
GVOLT.LS,Greenvolt Energias Renovaveis SA,Portugal,BB+,5.77058147126862,43.41614,37.76529,37.76532,28.11,1004957181.0,0.59947,770740584.5,133.80028,309849954.0,1004957181.0,,,141506540.0,39059547.0,2021.0
ECNR.TA,Econergy Renewable Energy Ltd,Israel,BB+,-15.3989734017732,21.54435,,,,136277000.0,-0.46297,310600425.206769,102.48771,58035000.0,136277000.0,,1166000,976000.0,13746000.0,2021.0
NAPZ.BU,NAP Nyrt,Hungary,,,,,,,,,,,,,,,,,2021.0
EGR1T.TL,Enefit Green AS,Estonia,A,11.3702912381528,75.24595,,1.95087,,817656000.0,0.06787,1068733082.208,19.48463,633607000.0,817656000.0,,,153002000.0,74844000.0,2021.0
ASAB.ST,Advanced SolTech Sweden AB (publ),Sweden,B,4.58434579721708,78.37253,31.58,31.58139,52.1,1752905000.0,1.59785,1124202984.6,191.96524,491946000.0,1752905000.0,,,117350000.0,296291000.0,2021.0
COMR3.SA,Comerc Participacoes SA,Brazil,,,,,,,,,,,,,,,,,2021.0
SPNEC.PS,Solar Philippines Nueva Ecija Corp,Philippines,A+,,,,,,,,,,,,,,,,2021.0
9522.T,Renewable Japan Co Ltd,Japan,CCC+,3.05005557622724,5.57565,,39.16119,,119766011000.0,5.5418,48556108000.0,706.33065,10630346000.0,119766011000.0,,,15950856000.0,1457119000.0,2021.0
6873.TWO,HD Renewable Energy Co Ltd,Taiwan,AA-,16.854109031025,9.34487,,23.88779,,3150059000.0,-0.24863,5005000000.0,25.24148,1642190000.0,3150059000.0,,4748000,2680010000.0,89744000.0,2021.0
MEGA3.SA,Omega Energia SA,Brazil,BB,4.14583857798937,57.53178,,39.77419,,12142194000.0,1.01838,7022195781.15,138.04694,4188715000.0,12142194000.0,,,1769719000.0,59697000.0,2021.0
TGE.BK,Thachang Green Energy PCL,Thailand,BB+,10.6303316920037,74.53834,,0.17371,,2748119600.0,1.34489,,139.51851,1083167346.0,2748119600.0,,,781163060.0,132137135.0,2021.0
6869.TWO,J&V Energy Technology Co Ltd,Taiwan,BBB,-0.240837793533354,56.17954,,15.43908,,2001855000.0,0.52042,,78.06135,1001839000.0,2001855000.0,,,211428000.0,139491000.0,2021.0
389260.KQ,Dae Myoung Energy Co Ltd,Korea; Republic (S. Korea),A-,37.0475564858933,37.47431,,34.70747,,144394199055.0,0.19461,,137.13407,32482930689.0,144394199055.0,,,166245483730.0,2616841008.0,2021.0
ZAZZb.ST,ZAZZ Energy of Sweden AB (publ),Sweden,,,,,,,,,,,,,,,,,2021.0
HUNER.IS,Hun Yenilenebilir Enerji Uretim AS,Turkey,,,,,,,,,,,,,,,,,2021.0
ASLAG.PS,RASLAG Corp,Philippines,BBB,6.63743718391623,84.38127,,0.06556,,2656756436.0,0.65149,,78.79547,1387020288.0,2656756436.0,,,291762520.0,441183103.0,2021.0
7590.TWO,Yiho International Co Ltd,Taiwan,BBB+,5.22815504288078,26.30171,,18.42224,,1794066000.0,1.30276,,141.99579,671632000.0,1794066000.0,,,290997000.0,139697000.0,2021.0
ENRS.MC,Enerside Energy SA,Spain,A-,-1.97020913593502,0.94161,,,,9212631.0,0.32409,,102.13678,4081667.0,9212631.0,,,3473190.0,20236.0,2021.0
AURE3.SA,Auren Energia SA,Brazil,BBB-,6.89553799691609,45.93248,,47.43293,,19562553000.0,0.33635,,52.13468,4457403000.0,19562553000.0,,,2624114000.0,672661000.0,2021.0
0295.HK,Kong Sun Holdings Ltd,Hong Kong,BB,4.80910552934623,39.57798,3.835,,18.0,14303318000.0,1.39307,1133582145.85126,143.34923,4620951000.0,14303318000.0,,,1478209000.0,15725000.0,2020.0
ENGEPEC1.LM,Enel Generacion Peru SAA,Peru,A,16.4765890497956,70.13154,,31.52624,,4585375000.0,-0.15437,5677502880.0,3.7187,2994694000.0,4585375000.0,,,1540055000.0,187960000.0,2020.0
PSWW.PK,Principal Solar Inc,United States of America,CCC+,-53.2851582865526,11.28071,,,,8088545.0,16.52864,15279995.25,1770.51809,-531550.0,8088545.0,,,,,2020.0
ABIO.PA,Albioma SA,France,BBB-,8.16149833455349,74.93725,28.81851,28.8174,31.56667,1750730000.0,1.53036,1487169770.0,176.66647,442575000.0,1750730000.0,27045000.0,,506728000.0,162928000.0,2020.0
WEB.V,Westbridge Energy Corp,Canada,AA,,,,,,655560.0,-0.68421,1335929.2,,571203.0,655560.0,,,0.0,1324167.0,2020.0
PWCO.PK,PwrCor Inc,United States of America,B+,,2.87003,,,,224632.0,,17248103.204,,-476810.0,224632.0,,23930,189970.0,,2020.0
