Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,,,,,,,,,,,,,,,1999.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,,,,,,,,,,,,,,,1999.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,,,,,,,,,,,,,,,1999.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,,,,,,,,,,,,,,,1999.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,,,,,,,,,,,,,,,1999.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,,,,,,,,,,,,,,,1999.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,,,,,,,,,,,,,,,1999.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,,,,,,,,,,,,,,,1999.0
601857.SS,PetroChina Co Ltd,601857,China,A+,,,,,,,,,,,,,,,1999.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,,,,,,,,,,,,,,,1999.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,,,,,,,,,,,,,,,1999.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,,,,,,,,,,,,,,,1999.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,,,,,,,,,,,,,,,1999.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,1999.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,,,,,,,,,,,,,,,1999.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,4.13929275855318,87.64646,,33.21648,,295567000.0,0.35983,273992570.625,37.45801,179505000.0,295567000.0,,,102352000.0,1999.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,8.35374609342005,66.44633,,32.59952,,139335000000.0,0.22176,177783671081.25,25.88103,62120000000.0,139335000000.0,,1506000000.0,165627000000.0,1998.0
TTEF.PA,TotalEnergies SE,TTE,France,A,8.73077201910779,43.02844,,29.48686,,27189328466.3696,0.26203,24573330490.4051,46.0747,12394832429.7243,27434465975.9873,,,27069736330.0,1998.0
BP.L,BP PLC,BP.,United Kingdom,A-,10.050700246966,,,31.64689,,84915000000.0,,87640793201.9283,,42501000000.0,84915000000.0,,921000000.0,83732000000.0,1998.0
CVX.N,Chevron Corp,CVX,United States of America,A+,6.33700018127522,59.11534,,32.4048,,65110000000.0,0.45606,54112089261.6875,51.43936,28867000000.0,65110000000.0,,970000000.0,71373000000.0,1998.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,,,,,,,,,,,,,,,1998.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,68.4636118598383,64.9423,,52.76163,,15252000000.0,1.98961,5168981250.0,201.81116,3363000000.0,15252000000.0,,128000000.0,7590000000.0,1998.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,-2.65105066407875,,,,,1165405000000.0,0.21215,,26.82344,759604000000.0,1165405000000.0,,,171295000000.0,1998.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,15.9311171406311,57.11958,,18.48748,,607655000000.0,0.39776,582528000000.0,43.93112,336579000000.0,607655000000.0,,,638435000000.0,1998.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,,,,,,,,,,,,,,,1998.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,8.91255280976908,73.48797,,14.61538,,10433000000.0,0.29474,10657430230.05,44.19862,4068000000.0,10433000000.0,,37000000.0,11086000000.0,1998.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,8.95477687930518,85.38012,,36.6548,,4104000000.0,0.84858,5067433140.0,86.57011,1519000000.0,4104000000.0,,40000000.0,2070000000.0,1998.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,10.5091441543254,52.00288,,36.99605,,40135414998.9413,0.41929,44742525490.6672,54.4326,16155288260.4182,40135414998.9413,,,28315500000.0,1998.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,,,,,,,,,,,,,,,1998.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,,,,,,,,,,,,,,,1998.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,8.23740033109273,44.46732,,-18.12298,,40055269000.0,0.47126,10884364.987,54.06482,21734616000.0,40055269000.0,,1305946000.0,18014235000.0,1998.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,7.93237439456277,51.6908,,22.02529,,4814115898.63593,0.38576,2164180918.09943,59.13992,1525206136.49412,4814115898.63593,,,4720098850.0,1998.0
REP.MC,Repsol SA,REP,Spain,BBB+,15.0185016209339,59.56948,,28.17138,,17350666522.4238,0.81576,13626318200.9248,95.97712,5862482420.39595,17350666522.4238,,,19009029000.0,1998.0
